id,label
8802,0.995
812,0.995
3365,0.985927
10695,0.995
7985,0.995
8916,0.005
12168,0.005
266,0.005
3882,0.995
4557,0.005
5510,0.995
7628,0.995
4899,0.005
11958,0.995
1604,0.005
7717,0.995
5096,0.995
10523,0.995
6433,0.995
3418,0.005
6518,0.005
3408,0.995
775,0.005
11858,0.005
10933,0.005
9233,0.995
11365,0.005
10671,0.005
5348,0.995
3243,0.995
6874,0.005
6436,0.995
3387,0.005
624,0.005
904,0.995
4670,0.005
5059,0.005
1684,0.995
10820,0.995
5015,0.995
4481,0.005
9618,0.995
11935,0.995
9150,0.005
7635,0.005
10517,0.995
1341,0.005
2520,0.995
3832,0.005
2279,0.005
2918,0.005
9041,0.005
585,0.995
8406,0.005
7539,0.005
2105,0.005
3263,0.005
3316,0.005
5980,0.005
990,0.005
10594,0.995
4962,0.995
93,0.005
1222,0.995
4838,0.995
10743,0.995
12413,0.005
10382,0.005
8015,0.005
3352,0.005
5152,0.005
11441,0.995
1845,0.995
3114,0.995
11329,0.995
4228,0.005
4563,0.005
9952,0.005
10131,0.995
3511,0.995
7531,0.995
3877,0.995
10664,0.005
7746,0.005
7244,0.005
8226,0.005
9215,0.005
7936,0.005
7556,0.005
5968,0.995
7942,0.005
9610,0.005
9583,0.995
5806,0.005
8854,0.005
8251,0.005
645,0.005
10762,0.005
11583,0.005
430,0.995
541,0.005
883,0.995
4996,0.995
464,0.005
5974,0.005
2713,0.005
5777,0.995
4139,0.005
3939,0.995
4632,0.005
851,0.995
737,0.005
5663,0.005
5362,0.005
5114,0.995
4834,0.995
2596,0.005
2783,0.005
10754,0.005
12133,0.995
10294,0.005
7,0.005
10961,0.995
11999,0.995
11332,0.995
6228,0.005
6106,0.995
11925,0.005
11183,0.005
3012,0.005
8927,0.995
4418,0.005
12221,0.005
3647,0.005
3498,0.005
9467,0.005
11896,0.005
9269,0.995
6425,0.0185397
10641,0.995
5032,0.005
11731,0.995
672,0.005
142,0.995
3742,0.995
10141,0.995
4538,0.005
8580,0.005
6417,0.005
11650,0.995
9182,0.005
7740,0.005
3777,0.005
5211,0.005
1377,0.995
6769,0.005
4372,0.005
694,0.995
1780,0.005
2719,0.995
7972,0.005
6918,0.995
11117,0.995
2490,0.995
4841,0.005
9780,0.005
10464,0.995
10144,0.995
4540,0.005
12485,0.005
11616,0.005
579,0.005
5516,0.995
720,0.005
2018,0.005
8575,0.005
9177,0.995
2565,0.005
2693,0.005
8806,0.995
7143,0.995
9796,0.005
9003,0.995
2453,0.005
7547,0.995
11797,0.005
9836,0.995
2620,0.005
3015,0.224523
1208,0.005
5340,0.005
7537,0.995
8483,0.995
4853,0.005
1720,0.995
5316,0.005
906,0.005
12434,0.995
4850,0.995
8076,0.995
3795,0.995
9931,0.995
11350,0.005
1884,0.995
3788,0.995
6760,0.005
671,0.005
4606,0.995
10061,0.005
4981,0.005
4263,0.005
4924,0.995
8357,0.995
9064,0.995
2238,0.995
2672,0.005
8774,0.005
2823,0.005
5227,0.005
7569,0.995
5711,0.869714
3709,0.005
6941,0.995
7152,0.005
8356,0.005
6739,0.005
4791,0.995
9049,0.005
10169,0.995
7279,0.995
5082,0.005
1736,0.005
7903,0.995
10267,0.005
5033,0.995
8266,0.005
10697,0.995
7811,0.005
6237,0.995
822,0.005
7173,0.005
2890,0.005
8441,0.995
8039,0.005
1084,0.005
11609,0.005
10283,0.995
3047,0.005
